"","gbifid_","family_","genus_","species_","infraspecificepithet_","taxonrank_","scientificname_","verbatimscientificname_","province_","count_","latitude_","longitude_","date_"
"617",659094079,"Andrenidae","Protandrena","Protandrena sp.","","GENUS","Protandrena Cockerell, 1896","Protandrena bidentis","New Mexico",NA,33.05148,-105.55998,1970-07-26
"618",657694611,"Andrenidae","Protandrena","Protandrena sp.","","GENUS","Protandrena Cockerell, 1896","Protandrena (Pterosarus) leucopterus","New Mexico",NA,34.25639,-103.3483,1970-09-17
"619",3009121345,"Halictidae","Lasioglossum","Lasioglossum sp.","","GENUS","Lasioglossum Curtis, 1833","","Michigan",NA,42.407615,-83.921543,1971-06-30
"620",1039072327,"Apidae","Anthophorula","Anthophorula sp.","","GENUS","Anthophorula Cockerell, 1897","Anthophorula","Texas",1,29.96536,-104.30325,1971-08-27
"621",4066582318,"Megachilidae","Paranthidium","Paranthidium sp.","","GENUS","Paranthidium Cockerell & Cockerell, 1901","Paranthidium sp. Cockerell & Cockerell, 1901","Colorado",1,38.62857,-105.08455,1971-08-29
"622",657598684,"Halictidae","Lasioglossum","Lasioglossum sp.","","GENUS","Lasioglossum Curtis, 1833","Lasioglossum (Lasioglossum)","Louisiana",NA,NA,NA,1971-10-27
"623",1252621859,"Andrenidae","Andrena","Andrena sp.","","GENUS","Andrena Fabricius, 1775","Andrena bilobus","Massachusetts",1,42.30537,-71.27917,1972-04-27
"624",3801842991,"Halictidae","Dialictus","Dialictus sp.","","GENUS","Dialictus Robertson, 1902","Lasioglossum (Dialictus) Robertson, 1902","Minnesota",1,NA,NA,1972-08-29
"625",4439394966,"Colletidae","Colletes","Colletes sp.","","GENUS","Colletes Latreille, 1802","Colletes latitarsis||''||Robertson","Florida",1,29.632222,-82.515278,1972-09-16
"626",4439394728,"Andrenidae","Perdita","Perdita sp.","","GENUS","Perdita Smith, 1853","Perdita||''||Smith","Florida",1,29.632222,-82.515278,1972-09-16
"627",4439392292,"Andrenidae","Andrena","Andrena sp.","","GENUS","Andrena Fabricius, 1775","Andrena fulvipennis||''||Smith","Florida",1,30.438056,-84.280833,1972-10-10
"628",370288435,"Megachilidae","Ashmeadiella","Ashmeadiella sp.","","GENUS","Ashmeadiella Cockerell, 1897","","Texas",1,NA,NA,1973-06-01
"629",4439383218,"Colletidae","Colletes","Colletes sp.","","GENUS","Colletes Latreille, 1802","Colletes mandibularis||''||Smith","Texas",1,26.17131,-98.38274,1973-06-01
"630",4439389343,"Andrenidae","Andrena","Andrena sp.","","GENUS","Andrena Fabricius, 1775","Andrena geranii||''||Robertson","Illinois",1,40.133333,-88.2,1973-06-01
"631",4146279876,"Colletidae","Ptiloglossa","Ptiloglossa sp.","","GENUS","Ptiloglossa Smith, 1853","Ptiloglossa","Texas",1,NA,NA,1973-06-07
"632",1061031742,"Apidae","Xylocopa","Xylocopa sp.","","GENUS","Xylocopa Latreille, 1802","Xylocopa sp.","California",1,37.7556,-119.53234,1973-06-13
"633",4039065235,"Apidae","Bombus","Bombus sp.","","UNRANKED","BOLD:AAI8712","BOLD:AAI8712","Tennessee",NA,NA,NA,1973-08-18
"634",4439385229,"Megachilidae","Megachile","Megachile sp.","","GENUS","Megachile Latreille, 1802","Megachile parallela||''||Smith","Texas",1,26.203056,-98.229722,1973-08-27
"635",370313139,"Colletidae","Colletes","Colletes sp.","","GENUS","Colletes Latreille, 1802","Colletes sp.","Texas",1,NA,NA,1973-08-27
"636",1142507456,"Apidae","Eulaema","Eulaema sp.","","GENUS","Eulaema Lepeletier, 1841","Eulaema Lepeletier, 1841","Alabama",1,33.330667,-85.998301,1974-01-13
"637",4439388678,"Andrenidae","Andrena","Andrena sp.","","GENUS","Andrena Fabricius, 1775","Andrena atlantica||''||Mitchell","Florida",1,29.65163,-82.32483,1974-05-13
"638",370350494,"Apidae","Exomalopsis","Exomalopsis sp.","","GENUS","Exomalopsis Spinola, 1853","Exomalopsis sp.","Texas",1,NA,NA,1974-05-16
"639",4439384661,"Andrenidae","Calliopsis","Calliopsis sp.","","GENUS","Calliopsis Smith, 1853","Calliopsis||''||Smith","Texas",1,26.203056,-98.229722,1974-05-16
"640",4439398675,"Colletidae","Colletes","Colletes sp.","","GENUS","Colletes Latreille, 1802","Colletes banksi||''||Swenk","Florida",1,29.75882,-82.39117,1974-05-20
"641",4439394517,"Colletidae","Colletes","Colletes sp.","","GENUS","Colletes Latreille, 1802","Colletes wootoni||''||Cockerell","Colorado",1,38.959167,-106.989167,1974-06-01
"642",3801328273,"Apidae","Xylocopa","Xylocopa sp.","","GENUS","Xylocopa Latreille, 1802","Xylocopa (Xylocopoides) arizonensis Cresson, 1879","Arizona",1,31.814722,-110.713056,1975-01-01
